@RELATION svm_affect
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {negative,neutral,positive}

@DATA
0.111432,0.126345,3.034282,0.205492,0.197230,0.530409,0.025711,0.160841,-29.260046,2.456309,0.384431,-0.290339,-0.164430,-0.092801,-0.088167,0.067307,0.056256,-0.135611,-0.284543,-0.081131,-0.057274,0.016583,0.005263,0.024220,0.018226,0.015123,0.006868,0.010475,0.002850,0.004665,0.011425,0.062825,0.003758,0.031251,0.148583,0.172332,0.408063,0.140342,0.044785,0.653394,0.026808,0.215196,4.413894,1.159796,0.997616,0.523212,0.468611,0.312911,0.383924,0.292639,0.320822,0.249001,0.329696,0.374615,0.306500,0.025099,0.009183,0.032080,0.027966,0.025062,0.013260,0.016936,0.008505,0.009580,0.022034,0.043496,0.007938,0.014868,negative
0.124578,0.103169,2.855462,0.207882,0.195235,0.581506,0.022462,0.163531,-27.453004,2.616105,0.031239,-0.504186,-0.116849,0.012725,0.046193,0.031634,-0.033522,-0.099036,-0.231870,-0.094879,-0.054247,0.024334,0.005478,0.027319,0.020674,0.023221,0.014474,0.016262,0.003471,0.007053,0.015036,0.034683,0.005822,0.024886,0.146048,0.146136,0.481575,0.134169,0.043779,0.586114,0.015992,0.205776,5.580097,1.138439,0.828428,0.549825,0.475121,0.351087,0.364528,0.335687,0.382565,0.381035,0.274322,0.337966,0.302040,0.033681,0.009627,0.032289,0.038143,0.023724,0.022577,0.016110,0.007809,0.010687,0.020029,0.037943,0.008618,0.012615,negative
0.140488,0.117291,2.970857,0.226135,0.193657,0.591338,0.024231,0.189175,-28.105892,2.572673,0.175458,-0.398221,-0.116868,-0.000401,-0.033602,-0.019720,-0.117859,-0.117359,-0.184070,-0.085561,-0.125665,0.014418,0.006347,0.016396,0.013544,0.021011,0.009905,0.015347,0.002888,0.009665,0.016611,0.042892,0.005521,0.025469,0.157368,0.139068,0.350290,0.143121,0.044595,0.655567,0.017809,0.210592,4.256049,0.946491,0.876546,0.574570,0.510154,0.414767,0.343188,0.250282,0.323271,0.292280,0.318984,0.308491,0.270276,0.021133,0.009430,0.018876,0.017610,0.033825,0.014654,0.022516,0.005379,0.015914,0.022445,0.035524,0.009815,0.012951,negative
0.040573,0.118606,3.032125,0.157050,0.192238,0.263590,0.029116,0.048809,-27.505345,2.272045,-0.205368,-0.276471,-0.007135,0.047014,0.162521,-0.248258,0.008648,-0.006493,-0.301088,0.126842,-0.069732,0.013152,0.005397,0.012770,0.009548,0.018227,0.012224,0.017306,0.002006,0.008260,0.011465,0.075686,0.005075,0.032688,0.031805,0.144140,0.478428,0.063040,0.041826,0.201921,0.028744,0.041229,5.303111,1.011926,0.769856,0.649948,0.553366,0.413643,0.439227,0.378620,0.391037,0.300825,0.299199,0.375717,0.261092,0.024055,0.011691,0.022306,0.016098,0.023652,0.023642,0.031612,0.004838,0.017266,0.016095,0.058758,0.009106,0.012345,negative
0.101330,0.073435,2.963078,0.185774,0.189368,0.486575,0.021915,0.149844,-29.410137,2.631168,-0.008875,-0.337873,-0.146840,-0.237091,-0.076300,0.099557,0.066355,-0.147377,-0.142907,-0.181191,-0.176538,0.018626,0.008913,0.018213,0.008214,0.008248,0.007190,0.017723,0.002443,0.006015,0.018332,0.063668,0.006839,0.029343,0.122817,0.113214,0.420603,0.106040,0.036514,0.498420,0.016114,0.179292,3.790490,0.858102,0.670442,0.492789,0.416951,0.348690,0.401939,0.357256,0.291285,0.335300,0.297619,0.389555,0.238685,0.024386,0.015147,0.026055,0.010469,0.008870,0.013214,0.026149,0.006213,0.011132,0.024485,0.026360,0.013139,0.009276,negative
0.110886,0.120315,2.912288,0.193448,0.191653,0.598006,0.026552,0.162749,-26.521921,2.583256,-0.091981,-0.471801,-0.143778,-0.137187,0.003697,0.044538,0.019804,0.039571,-0.170405,-0.051741,-0.097570,0.021469,0.008229,0.019582,0.011626,0.020906,0.015727,0.023172,0.002991,0.008536,0.015009,0.037016,0.009363,0.027456,0.135809,0.168601,0.433830,0.122462,0.040428,0.678709,0.024862,0.209223,5.193585,1.300026,0.839074,0.567921,0.521264,0.349119,0.352055,0.310743,0.354654,0.336731,0.348905,0.315731,0.379889,0.031908,0.015516,0.026330,0.015737,0.036778,0.027446,0.037390,0.005219,0.013890,0.022479,0.043835,0.015167,0.014845,negative
0.103483,0.113893,2.807662,0.202829,0.200076,0.626797,0.029447,0.167424,-27.103982,2.220779,0.090942,-0.454506,-0.129658,-0.144315,-0.032820,0.074131,-0.034306,-0.026301,-0.174457,-0.069728,-0.183712,0.022373,0.009747,0.024057,0.015953,0.019572,0.010756,0.017315,0.003220,0.008033,0.014001,0.037429,0.011017,0.026407,0.101414,0.159677,0.567308,0.104627,0.035755,0.594087,0.034147,0.185089,5.357549,1.304993,0.996656,0.680335,0.604123,0.361282,0.343186,0.332227,0.320691,0.282900,0.331062,0.336702,0.347387,0.026896,0.016525,0.035951,0.029424,0.030096,0.018327,0.024413,0.005245,0.013157,0.023709,0.041573,0.021042,0.012687,negative
0.088274,0.098825,2.990989,0.176606,0.204092,0.425860,0.022457,0.115764,-28.526058,2.784182,0.094576,-0.289357,-0.121770,-0.093503,-0.084447,-0.003299,-0.099719,0.024419,-0.235920,0.000144,-0.028755,0.015409,0.005917,0.022982,0.018578,0.026750,0.012986,0.015883,0.002779,0.007970,0.016916,0.045595,0.008350,0.028668,0.089816,0.122215,0.373599,0.076713,0.030842,0.443954,0.015441,0.148046,3.747066,0.737265,0.743323,0.558431,0.461618,0.386337,0.327984,0.267528,0.347665,0.329627,0.348995,0.331221,0.313999,0.022178,0.009438,0.022578,0.031062,0.035822,0.020809,0.019596,0.006277,0.012392,0.023892,0.028857,0.017521,0.012584,negative
0.075332,0.051753,3.073494,0.160537,0.189694,0.366197,0.024433,0.095000,-29.728889,2.385080,-0.185002,-0.385657,-0.024192,-0.007575,0.007408,-0.114817,-0.234739,-0.109254,-0.213297,0.188916,0.073847,0.014164,0.004719,0.013843,0.019295,0.017922,0.021666,0.012334,0.004341,0.007132,0.003880,0.070351,0.002631,0.035609,0.094138,0.073110,0.299240,0.092504,0.036358,0.436749,0.022577,0.131332,3.932017,1.014177,0.834462,0.509017,0.350462,0.334080,0.382733,0.385187,0.350176,0.340931,0.340746,0.364513,0.295038,0.025037,0.010027,0.023441,0.035828,0.024870,0.036386,0.020279,0.009888,0.016229,0.008219,0.039579,0.006280,0.011475,negative
0.112998,0.062656,2.945652,0.199337,0.199302,0.673350,0.018546,0.176332,-28.905830,2.432609,-0.248893,-0.330789,-0.244454,-0.038679,-0.049509,-0.062817,-0.067438,-0.093365,-0.103416,0.052567,-0.075692,0.020211,0.003448,0.022642,0.012605,0.017972,0.017975,0.024217,0.003560,0.008462,0.012798,0.040649,0.007505,0.024780,0.106275,0.077948,0.435387,0.105970,0.031290,0.690950,0.011692,0.197089,3.923565,1.103427,1.017880,0.475273,0.430572,0.347346,0.367739,0.426649,0.399949,0.300150,0.282879,0.384267,0.318218,0.029903,0.004876,0.024890,0.020197,0.020165,0.028008,0.033010,0.007204,0.013553,0.016509,0.043671,0.012653,0.011916,negative
